run_id,timestamp,stage,script,config_hash,git_commit,region_scope,split_type,split_fold,model,params_json,metric,size_bin,value,ci_low,ci_high,n_samples,notes
3a56ff7c,2026-08-31T19:16:50+00:00,baseline,src/baseline.py,33a28fdd354c,1b8c2ce,"IRN,IRQ,SAU",by_site,,viirs_power_law_calibration,"{""predictors"": [""avg_temp_k"", ""detection_freq"", ""ellipticity""], ""coef"": [12.92325, -2.80975, 1.12292, 0.00658]}",median_log_bias,tiny,0.0876,0.0564,0.1514,292,"RULE 6 baseline. Reproduces EOG volumes, not independent truth."
3a56ff7c,2026-08-31T19:16:50+00:00,baseline,src/baseline.py,33a28fdd354c,1b8c2ce,"IRN,IRQ,SAU",by_site,,viirs_power_law_calibration,"{""predictors"": [""avg_temp_k"", ""detection_freq"", ""ellipticity""], ""coef"": [12.92325, -2.80975, 1.12292, 0.00658]}",median_log_bias,sub-VIIRS,-0.0391,-0.079,0.0258,355,"RULE 6 baseline. Reproduces EOG volumes, not independent truth."
3a56ff7c,2026-08-31T19:16:50+00:00,baseline,src/baseline.py,33a28fdd354c,1b8c2ce,"IRN,IRQ,SAU",by_site,,viirs_power_law_calibration,"{""predictors"": [""avg_temp_k"", ""detection_freq"", ""ellipticity""], ""coef"": [12.92325, -2.80975, 1.12292, 0.00658]}",median_log_bias,small,0.2251,0.1304,0.2647,244,"RULE 6 baseline. Reproduces EOG volumes, not independent truth."
3a56ff7c,2026-08-31T19:16:50+00:00,baseline,src/baseline.py,33a28fdd354c,1b8c2ce,"IRN,IRQ,SAU",by_site,,viirs_power_law_calibration,"{""predictors"": [""avg_temp_k"", ""detection_freq"", ""ellipticity""], ""coef"": [12.92325, -2.80975, 1.12292, 0.00658]}",median_log_bias,medium,0.2344,0.1927,0.2748,347,"RULE 6 baseline. Reproduces EOG volumes, not independent truth."
3a56ff7c,2026-08-31T19:16:50+00:00,baseline,src/baseline.py,33a28fdd354c,1b8c2ce,"IRN,IRQ,SAU",by_site,,viirs_power_law_calibration,"{""predictors"": [""avg_temp_k"", ""detection_freq"", ""ellipticity""], ""coef"": [12.92325, -2.80975, 1.12292, 0.00658]}",median_log_bias,large,-0.1982,-0.2321,-0.158,275,"RULE 6 baseline. Reproduces EOG volumes, not independent truth."
3a56ff7c,2026-08-31T19:16:50+00:00,baseline,src/baseline.py,33a28fdd354c,1b8c2ce,"IRN,IRQ,SAU",by_site,,viirs_power_law_calibration,"{""predictors"": [""avg_temp_k"", ""detection_freq"", ""ellipticity""], ""coef"": [12.92325, -2.80975, 1.12292, 0.00658]}",median_log_bias,very-large,-0.6862,-0.724,-0.6486,139,"RULE 6 baseline. Reproduces EOG volumes, not independent truth."
c60dfd7f,2026-08-31T19:18:16+00:00,baseline,src/baseline.py,33a28fdd354c,1b8c2ce,"IRN,IRQ,SAU",by_site,,viirs_power_law_calibration,"{""predictors"": [""avg_temp_k"", ""detection_freq"", ""ellipticity""], ""coef"": [12.92325, -2.80975, 1.12292, 0.00658]}",median_log_bias,tiny,0.0876,0.0564,0.1514,292,"RULE 6 baseline. Reproduces EOG volumes, not independent truth."
c60dfd7f,2026-08-31T19:18:16+00:00,baseline,src/baseline.py,33a28fdd354c,1b8c2ce,"IRN,IRQ,SAU",by_site,,viirs_power_law_calibration,"{""predictors"": [""avg_temp_k"", ""detection_freq"", ""ellipticity""], ""coef"": [12.92325, -2.80975, 1.12292, 0.00658]}",median_log_bias,sub-VIIRS,-0.0391,-0.079,0.0258,355,"RULE 6 baseline. Reproduces EOG volumes, not independent truth."
c60dfd7f,2026-08-31T19:18:16+00:00,baseline,src/baseline.py,33a28fdd354c,1b8c2ce,"IRN,IRQ,SAU",by_site,,viirs_power_law_calibration,"{""predictors"": [""avg_temp_k"", ""detection_freq"", ""ellipticity""], ""coef"": [12.92325, -2.80975, 1.12292, 0.00658]}",median_log_bias,small,0.2251,0.1304,0.2647,244,"RULE 6 baseline. Reproduces EOG volumes, not independent truth."
c60dfd7f,2026-08-31T19:18:16+00:00,baseline,src/baseline.py,33a28fdd354c,1b8c2ce,"IRN,IRQ,SAU",by_site,,viirs_power_law_calibration,"{""predictors"": [""avg_temp_k"", ""detection_freq"", ""ellipticity""], ""coef"": [12.92325, -2.80975, 1.12292, 0.00658]}",median_log_bias,medium,0.2344,0.1927,0.2748,347,"RULE 6 baseline. Reproduces EOG volumes, not independent truth."
c60dfd7f,2026-08-31T19:18:16+00:00,baseline,src/baseline.py,33a28fdd354c,1b8c2ce,"IRN,IRQ,SAU",by_site,,viirs_power_law_calibration,"{""predictors"": [""avg_temp_k"", ""detection_freq"", ""ellipticity""], ""coef"": [12.92325, -2.80975, 1.12292, 0.00658]}",median_log_bias,large,-0.1982,-0.2321,-0.158,275,"RULE 6 baseline. Reproduces EOG volumes, not independent truth."
c60dfd7f,2026-08-31T19:18:16+00:00,baseline,src/baseline.py,33a28fdd354c,1b8c2ce,"IRN,IRQ,SAU",by_site,,viirs_power_law_calibration,"{""predictors"": [""avg_temp_k"", ""detection_freq"", ""ellipticity""], ""coef"": [12.92325, -2.80975, 1.12292, 0.00658]}",median_log_bias,very-large,-0.6862,-0.724,-0.6486,139,"RULE 6 baseline. Reproduces EOG volumes, not independent truth."
